# vsname:imis_fka_2
# query:select rh, ta, rswr, pk, timed from imis_fka_2 where  timed > 1420066800000 and  timed <= 1428876000000 order by timed desc 
# altitude:2425
# name:imis_fka_2
# latitude:46.5766808291
# exposition:N/A
# longitude:8.4213608918
# geographical:Furka, Galenbodmen
# slope:0
# description:imis station fka_2
# time,rh,ta,rswr
# ,%,°C,W/m²
1422959400000,70.7,-11.6,524.0
1422961200000,71.0,-11.7,583.0
1422963000000,70.7,-11.4,508.0
1422964800000,67.7,-11.7,464.0
1422966600000,66.3,-11.6,386.0
1422968400000,74.0,-12.8,199.0
1422970200000,72.0,-12.6,181.0
1422972000000,67.7,-12.1,200.0
1422973800000,71.7,-12.7,123.0
1422975600000,71.3,-12.7,65.0
1422977400000,70.7,-12.6,23.0
1422979200000,75.3,-13.3,7.0
1422981000000,77.0,-13.5,6.0
1422982800000,73.3,-13.0,8.0
1422984600000,69.3,-12.2,8.0
1422986400000,73.7,-12.7,7.0
1422988200000,75.0,-13.0,7.0
1422990000000,72.0,-12.6,7.0
1422991800000,73.0,-12.8,8.0
1422993600000,74.0,-13.0,7.0
1422995400000,75.0,-12.6,6.0
1422997200000,76.3,-12.7,7.0
1422999000000,77.0,-13.2,8.0
1423000800000,76.0,-13.4,8.0
1423002600000,79.0,-13.9,4.0
1423004400000,82.0,-13.9,4.0
1423006200000,84.0,-14.3,3.0
1423008000000,86.0,-14.3,3.0
1423009800000,87.0,-14.3,3.0
1423011600000,86.0,-14.2,5.0
1423013400000,84.3,-14.1,3.0
1423015200000,82.0,-13.7,3.0
1423017000000,76.7,-13.1,3.0
1423018800000,76.3,-13.1,5.0
1423020600000,76.0,-13.4,4.0
1423022400000,75.7,-13.3,3.0
1423024200000,76.7,-13.2,3.0
1423026000000,75.3,-12.9,3.0
1423027800000,76.3,-12.8,7.0
1423029600000,78.3,-12.6,7.0
1423031400000,78.7,-12.4,27.0
1423033200000,81.3,-11.9,61.0
1423035000000,80.0,-11.6,107.0
1423036800000,76.0,-10.9,160.0
1423038600000,71.7,-10.3,206.0
1423040400000,66.3,-9.1,254.0
1423042200000,63.0,-8.4,249.0
1423044000000,63.7,-8.6,332.0
1423045800000,58.0,-7.3,436.0
1423047600000,59.3,-7.5,344.0
1423049400000,58.3,-7.3,410.0
1423051200000,55.7,-7.2,392.0
1423053000000,59.7,-7.7,340.0
1423054800000,65.3,-8.9,225.0
1423056600000,71.0,-9.6,153.0
1423058400000,72.3,-9.7,132.0
1423060200000,73.7,-9.8,83.0
1423062000000,77.0,-9.8,40.0
1423063800000,83.0,-10.2,17.0
1423065600000,86.0,-10.2,5.0
1423067400000,88.7,-10.4,4.0
1423069200000,89.3,-10.4,4.0
1423071000000,90.7,-10.2,4.0
1423072800000,90.7,-10.3,4.0
1423074600000,89.3,-9.9,4.0
1423076400000,89.3,-9.9,3.0
1423078200000,90.7,-10.0,7.0
1423080000000,86.0,-9.3,8.0
1423081800000,81.7,-9.1,8.0
1423083600000,77.7,-8.9,8.0
1423085400000,84.7,-9.3,8.0
1423087200000,77.7,-9.1,7.0
1423089000000,78.0,-9.1,4.0
1423090800000,79.3,-9.2,4.0
1423092600000,80.0,-8.9,6.0
1423094400000,80.3,-8.9,8.0
1423096200000,80.0,-9.0,5.0
1423098000000,79.7,-9.0,6.0
1423099800000,79.7,-8.7,8.0
1423101600000,79.7,-8.7,7.0
1423103400000,79.0,-8.5,6.0
1423105200000,79.3,-8.3,6.0
1423107000000,87.0,-8.5,4.0
1423108800000,92.0,-9.0,4.0
1423110600000,93.0,-9.0,4.0
1423112400000,93.0,-9.0,5.0
1423114200000,92.7,-9.0,4.0
1423116000000,94.7,-9.6,8.0
1423117800000,94.7,-9.9,23.0
1423119600000,92.3,-9.2,54.0
1423121400000,94.0,-10.0,90.0
1423123200000,92.7,-9.7,164.0
1423125000000,91.7,-9.5,182.0
1423126800000,89.7,-9.1,189.0
1423128600000,88.3,-9.1,234.0
1423130400000,88.7,-9.1,235.0
1423132200000,90.0,-9.7,250.0
1423134000000,91.0,-9.8,215.0
1423135800000,91.0,-9.6,246.0
1423137600000,90.7,-9.5,256.0
1423139400000,92.0,-9.6,198.0
1423141200000,92.0,-10.0,169.0
1423143000000,92.0,-9.9,159.0
1423144800000,92.7,-9.9,125.0
1423146600000,93.0,-10.0,91.0
1423148400000,93.0,-10.2,50.0
1423150200000,93.7,-10.1,15.0
1423152000000,94.0,-10.0,5.0
1423153800000,94.0,-10.0,4.0
1423155600000,94.0,-10.0,4.0
1423157400000,94.0,-9.9,4.0
1423159200000,94.0,-9.8,5.0
1423161000000,94.0,-9.5,4.0
1423162800000,94.0,-9.2,4.0
1423164600000,94.0,-8.9,4.0
1423166400000,92.7,-8.6,4.0
1423168200000,90.3,-8.3,5.0
1423170000000,89.3,-8.2,5.0
1423171800000,88.0,-7.8,5.0
1423173600000,87.0,-7.5,5.0
1423175400000,86.0,-7.3,5.0
1423177200000,85.3,-7.1,5.0
1423179000000,82.7,-6.7,4.0
1423180800000,81.0,-6.8,4.0
1423182600000,78.3,-6.6,4.0
1423184400000,76.3,-6.3,4.0
1423186200000,75.0,-6.2,4.0
1423188000000,75.3,-6.4,4.0
1423189800000,75.0,-6.3,4.0
1423191600000,71.0,-6.5,4.0
1423193400000,73.7,-7.1,4.0
1423195200000,74.0,-7.1,4.0
1423197000000,72.7,-6.8,4.0
1423198800000,70.7,-6.4,4.0
1423200600000,69.7,-6.4,4.0
1423202400000,68.7,-6.3,8.0
1423204200000,68.7,-6.3,33.0
1423206000000,70.7,-6.9,61.0
1423207800000,69.0,-6.4,107.0
1423209600000,65.3,-5.9,162.0
1423211400000,67.3,-6.4,178.0
1423213200000,69.0,-6.7,237.0
1423215000000,64.3,-5.8,276.0
1423216800000,59.3,-5.0,552.0
1423218600000,58.0,-4.7,526.0
1423220400000,62.0,-5.3,499.0
1423222200000,65.0,-5.9,486.0
1423224000000,64.7,-5.8,466.0
1423225800000,61.7,-5.6,425.0
1423227600000,61.7,-5.6,361.0
1423229400000,64.7,-6.3,235.0
1423231200000,64.7,-6.2,237.0
1423233000000,68.3,-6.7,133.0
1423234800000,69.7,-6.8,54.0
1423236600000,71.3,-7.0,20.0
1423238400000,72.7,-7.1,6.0
1423240200000,73.0,-7.1,4.0
1423242000000,74.0,-7.2,4.0
1423243800000,75.0,-7.4,4.0
1423245600000,74.7,-7.5,4.0
1423247400000,75.3,-7.6,4.0
1423249200000,75.0,-7.5,4.0
1423251000000,73.7,-7.3,4.0
1423252800000,73.0,-7.2,4.0
1423254600000,70.7,-7.1,4.0
1423256400000,70.3,-7.1,4.0
1423258200000,71.3,-7.4,3.0
1423260000000,73.3,-7.5,3.0
1423261800000,71.0,-7.3,5.0
1423263600000,68.3,-7.0,5.0
1423265400000,63.0,-6.6,3.0
1423267200000,61.7,-6.5,4.0
1423269000000,68.7,-7.4,3.0
1423270800000,71.3,-7.6,3.0
1423272600000,71.7,-7.2,3.0
1423274400000,66.7,-7.0,3.0
1423276200000,67.3,-7.2,4.0
1423278000000,68.7,-7.3,4.0
1423279800000,68.0,-7.1,4.0
1423281600000,67.0,-7.1,4.0
1423283400000,66.3,-6.8,4.0
1423285200000,65.0,-6.9,3.0
1423287000000,64.3,-6.7,4.0
1423288800000,64.7,-6.8,9.0
1423290600000,65.0,-6.7,27.0
1423292400000,63.0,-6.2,76.0
1423294200000,57.3,-5.1,251.0
1423296000000,54.7,-4.5,322.0
1423297800000,53.3,-4.1,384.0
1423299600000,52.7,-3.8,432.0
1423301400000,53.0,-3.5,473.0
1423303200000,53.0,-3.6,499.0
1423305000000,55.3,-4.0,507.0
1423306800000,57.7,-4.4,509.0
1423308600000,58.7,-4.7,491.0
1423310400000,62.0,-5.3,459.0
1423312200000,62.3,-5.4,439.0
1423314000000,61.0,-5.5,390.0
1423315800000,54.3,-5.1,330.0
1423317600000,43.7,-5.0,264.0
1423319400000,32.3,-4.8,194.0
1423321200000,25.7,-4.4,56.0
1423323000000,27.0,-5.0,18.0
1423324800000,37.3,-6.3,6.0
1423326600000,41.0,-5.9,3.0
1423328400000,52.0,-6.5,3.0
1423330200000,46.7,-6.1,3.0
1423332000000,45.0,-6.1,3.0
1423333800000,35.0,-4.7,3.0
1423335600000,32.3,-4.2,3.0
1423337400000,32.7,-4.7,3.0
1423339200000,31.7,-4.9,4.0
1423341000000,33.7,-5.2,3.0
1423342800000,34.3,-4.6,3.0
1423344600000,35.7,-5.1,3.0
1423346400000,36.7,-5.7,5.0
1423348200000,36.0,-4.3,6.0
1423350000000,39.3,-5.2,5.0
1423351800000,37.7,-3.9,4.0
1423353600000,42.7,-5.7,4.0
1423355400000,44.3,-6.1,5.0
1423357200000,45.3,-6.0,5.0
1423359000000,47.3,-6.5,6.0
1423360800000,49.7,-7.5,6.0
1423362600000,55.3,-9.0,6.0
1423364400000,54.0,-8.1,6.0
1423366200000,55.3,-8.6,5.0
1423368000000,62.0,-10.5,5.0
1423369800000,65.3,-10.5,5.0
1423371600000,52.0,-6.0,6.0
1423373400000,60.0,-7.1,8.0
1423375200000,58.0,-7.4,18.0
1423377000000,57.0,-8.1,44.0
1423378800000,52.3,-8.4,108.0
1423380600000,57.3,-8.8,307.0
1423382400000,55.0,-8.9,366.0
1423384200000,59.7,-10.1,438.0
1423386000000,61.3,-10.9,491.0
1423387800000,60.0,-11.2,570.0
1423389600000,75.3,-12.3,547.0
1423391400000,87.0,-13.0,563.0
1423393200000,80.3,-12.3,558.0
1423395000000,59.7,-11.2,533.0
1423396800000,63.3,-11.4,479.0
1423398600000,67.3,-11.6,441.0
1423400400000,69.0,-11.8,398.0
1423402200000,70.7,-12.3,217.0
1423404000000,75.3,-12.8,171.0
1423405800000,77.0,-13.1,102.0
1423407600000,75.0,-13.4,42.0
1423409400000,75.0,-13.7,29.0
1423411200000,74.0,-13.9,13.0
1423413000000,70.7,-14.1,8.0
1423414800000,69.3,-14.5,6.0
1423416600000,90.0,-15.7,4.0
1423418400000,90.0,-15.7,5.0
1423420200000,90.0,-15.5,5.0
1423422000000,90.0,-15.5,5.0
1423423800000,90.0,-15.7,5.0
1423425600000,90.0,-15.5,5.0
1423427400000,90.0,-15.4,5.0
1423429200000,90.0,-15.4,5.0
1423431000000,90.0,-15.5,5.0
1423432800000,90.0,-15.8,5.0
1423434600000,90.7,-15.5,5.0
1423436400000,90.7,-15.4,4.0
1423438200000,90.7,-15.5,4.0
1423440000000,89.0,-14.0,4.0
1423441800000,85.0,-13.7,4.0
1423443600000,82.7,-12.8,4.0
1423445400000,81.0,-13.1,5.0
1423447200000,80.3,-12.7,6.0
1423449000000,89.3,-14.5,5.0
1423450800000,86.3,-13.9,5.0
1423452600000,84.0,-12.9,6.0
1423454400000,88.0,-14.1,5.0
1423456200000,91.3,-15.1,6.0
1423458000000,90.3,-14.1,7.0
1423459800000,90.7,-14.2,6.0
1423461600000,89.3,-13.2,15.0
1423463400000,88.0,-11.9,48.0
1423465200000,89.0,-12.8,92.0
1423467000000,90.7,-13.3,141.0
1423468800000,88.7,-12.5,196.0
1423470600000,75.7,-9.0,459.0
1423472400000,76.0,-10.0,457.0
1423474200000,76.7,-9.7,390.0
1423476000000,78.3,-8.2,438.0
1423477800000,80.0,-7.8,502.0
1423479600000,80.3,-7.5,453.0
1423481400000,84.7,-7.4,396.0
1423483200000,86.7,-7.4,347.0
1423485000000,82.7,-6.7,298.0
1423486800000,83.3,-7.0,268.0
1423488600000,91.3,-8.8,244.0
1423490400000,76.7,-6.9,216.0
1423492200000,64.7,-5.6,181.0
1423494000000,67.0,-6.7,59.0
1423495800000,72.3,-8.0,21.0
1423497600000,68.7,-8.4,11.0
1423499400000,56.3,-7.5,7.0
1423501200000,41.3,-6.0,7.0
1423503000000,46.3,-6.6,7.0
1423504800000,48.3,-6.3,8.0
1423506600000,46.0,-5.7,7.0
1423508400000,48.0,-5.6,8.0
1423510200000,54.7,-6.1,8.0
1423512000000,50.7,-6.1,6.0
1423513800000,50.7,-5.8,8.0
1423515600000,52.3,-6.0,8.0
1423517400000,50.0,-6.8,6.0
1423519200000,52.7,-6.4,5.0
1423521000000,50.0,-6.2,4.0
1423522800000,52.3,-6.9,4.0
1423524600000,42.7,-6.1,4.0
1423526400000,39.0,-5.8,4.0
1423528200000,31.7,-4.1,7.0
1423530000000,31.3,-4.1,5.0
1423531800000,32.3,-4.5,4.0
1423533600000,36.3,-5.1,3.0
1423535400000,36.7,-4.8,4.0
1423537200000,36.3,-4.7,3.0
1423539000000,35.3,-4.6,3.0
1423540800000,34.3,-4.3,3.0
1423542600000,29.0,-3.6,3.0
1423544400000,29.0,-3.7,3.0
1423546200000,28.3,-3.4,4.0
1423548000000,28.7,-3.3,11.0
1423549800000,30.0,-3.1,25.0
1423551600000,28.0,-2.6,115.0
1423553400000,26.0,-1.5,275.0
1423555200000,30.7,-1.2,346.0
1423557000000,31.3,-1.1,401.0
1423558800000,32.0,-0.7,450.0
1423560600000,31.0,-0.7,500.0
1423562400000,28.3,0.7,517.0
1423564200000,25.0,1.6,519.0
1423566000000,29.0,0.3,524.0
1423567800000,31.3,0.0,512.0
1423569600000,33.3,-0.3,493.0
1423571400000,33.0,-0.5,454.0
1423573200000,33.7,-0.5,404.0
1423575000000,32.0,-0.1,342.0
1423576800000,32.0,-0.3,272.0
1423578600000,32.0,-0.5,199.0
1423580400000,33.0,-0.5,59.0
1423582200000,34.7,-0.1,19.0
1423584000000,35.7,-0.1,8.0
1423585800000,37.7,-0.3,3.0
1423587600000,37.0,0.2,3.0
1423589400000,37.0,0.5,3.0
1423591200000,37.3,0.4,7.0
1423593000000,38.0,0.4,8.0
1423594800000,40.0,-0.3,3.0
1423596600000,40.3,-0.3,3.0
1423598400000,41.3,-0.4,3.0
1423600200000,41.0,-0.3,6.0
1423602000000,38.3,-0.1,8.0
1423603800000,36.7,0.4,7.0
1423605600000,38.0,-0.2,6.0
1423607400000,39.0,-0.7,3.0
1423609200000,40.0,-1.0,7.0
1423611000000,38.7,-0.8,6.0
1423612800000,38.7,-0.8,7.0
1423614600000,38.3,-0.8,7.0
1423616400000,40.3,-1.3,7.0
1423618200000,41.3,-2.0,5.0
1423620000000,38.7,-1.6,8.0
1423621800000,33.7,-0.9,8.0
1423623600000,32.7,-0.7,8.0
1423625400000,34.0,-0.9,8.0
1423627200000,33.3,-0.8,8.0
1423629000000,33.7,-1.2,8.0
1423630800000,33.3,-1.1,8.0
1423632600000,32.7,-0.8,8.0
1423634400000,35.3,-1.4,16.0
1423636200000,33.3,-1.0,30.0
1423638000000,32.3,-0.6,136.0
1423639800000,31.3,0.2,278.0
1423641600000,30.3,1.0,349.0
1423643400000,28.7,1.6,404.0
1423645200000,29.3,1.8,451.0
1423647000000,28.0,1.4,492.0
1423648800000,29.0,2.0,513.0
1423650600000,19.7,5.1,519.0
1423652400000,19.7,3.5,515.0
1423654200000,20.0,3.6,503.0
1423656000000,23.0,2.2,480.0
1423657800000,25.7,1.3,448.0
1423659600000,24.3,1.5,400.0
1423661400000,29.7,0.0,340.0
1423663200000,30.7,-0.5,272.0
1423665000000,30.0,-0.7,201.0
1423666800000,32.7,-1.5,60.0
1423668600000,33.3,-1.8,20.0
1423670400000,33.0,-1.6,10.0
1423672200000,30.3,-1.4,8.0
1423674000000,32.3,-1.8,3.0
1423675800000,28.3,-1.6,4.0
1423677600000,27.3,-1.6,4.0
1423679400000,27.0,-1.6,3.0
1423681200000,29.0,-1.8,3.0
1423683000000,32.7,-2.0,3.0
1423684800000,32.3,-1.9,3.0
1423686600000,31.3,-1.9,4.0
1423688400000,30.7,-2.1,3.0
1423690200000,29.3,-2.0,3.0
1423692000000,26.3,-1.8,5.0
1423693800000,27.3,-2.2,3.0
1423695600000,27.3,-2.3,3.0
1423697400000,26.3,-2.0,5.0
1423699200000,26.3,-1.7,6.0
1423701000000,27.3,-1.9,8.0
1423702800000,27.0,-1.8,8.0
1423704600000,27.3,-1.8,8.0
1423706400000,28.0,-1.9,8.0
1423708200000,29.0,-2.1,8.0
1423710000000,31.3,-2.5,8.0
1423711800000,32.0,-2.7,7.0
1423713600000,34.3,-2.9,8.0
1423715400000,35.7,-2.8,8.0
1423717200000,35.7,-2.7,8.0
1423719000000,38.0,-3.1,9.0
1423720800000,36.0,-3.0,17.0
1423722600000,35.0,-2.7,31.0
1423724400000,36.3,-2.1,153.0
1423726200000,35.3,-1.4,285.0
1423728000000,33.7,-1.3,348.0
1423729800000,34.7,-1.1,407.0
1423731600000,32.0,0.1,451.0
1423733400000,30.7,0.8,484.0
1423735200000,30.7,1.3,505.0
1423737000000,34.0,0.0,527.0
1423738800000,34.7,-0.4,526.0
1423740600000,32.7,1.1,505.0
1423742400000,34.3,0.6,484.0
1423744200000,35.0,-0.4,448.0
1423746000000,31.7,0.9,396.0
1423747800000,35.3,-0.3,340.0
1423749600000,40.0,-1.9,278.0
1423751400000,35.0,-1.8,204.0
1423753200000,36.0,-2.3,64.0
1423755000000,37.0,-2.6,23.0
1423756800000,36.3,-2.6,11.0
1423758600000,35.0,-2.7,7.0
1423760400000,38.3,-2.8,8.0
1423762200000,32.3,-2.5,8.0
1423764000000,31.3,-2.3,8.0
1423765800000,31.0,-2.6,8.0
1423767600000,32.7,-2.9,8.0
1423769400000,32.0,-2.6,8.0
1423771200000,32.0,-2.7,8.0
1423773000000,33.0,-3.0,8.0
1423774800000,32.3,-2.9,8.0
1423776600000,31.7,-2.8,8.0
1423778400000,30.7,-2.7,8.0
1423780200000,30.7,-2.7,8.0
1423782000000,30.0,-2.8,8.0
1423783800000,29.0,-2.6,8.0
1423785600000,29.3,-2.9,7.0
1423787400000,29.0,-2.7,7.0
1423789200000,28.7,-2.7,7.0
1423791000000,29.3,-2.9,6.0
1423792800000,32.7,-3.7,8.0
1423794600000,30.3,-3.3,7.0
1423796400000,31.7,-3.9,6.0
1423798200000,32.7,-4.0,8.0
1423800000000,33.0,-4.1,7.0
1423801800000,33.0,-4.1,8.0
1423803600000,33.0,-4.0,8.0
1423805400000,34.0,-4.1,10.0
1423807200000,35.0,-4.1,24.0
1423809000000,34.0,-3.8,44.0
1423810800000,33.3,-3.5,136.0
1423812600000,32.3,-3.4,124.0
1423814400000,33.7,-3.4,266.0
1423816200000,34.0,-2.8,315.0
1423818000000,33.3,-2.6,300.0
1423819800000,33.0,-2.0,377.0
1423821600000,36.0,-1.8,438.0
1423823400000,35.7,-1.9,400.0
1423825200000,39.7,-2.7,422.0
1423827000000,43.7,-3.1,397.0
1423828800000,43.0,-2.9,381.0
1423830600000,43.0,-3.3,381.0
1423832400000,42.7,-3.0,293.0
1423834200000,47.3,-4.4,243.0
1423836000000,51.3,-5.0,205.0
1423837800000,55.3,-5.4,162.0
1423839600000,62.7,-6.0,93.0
1423841400000,65.0,-6.2,39.0
1423843200000,69.0,-6.8,9.0
1423845000000,78.0,-7.2,5.0
1423846800000,78.7,-7.2,8.0
1423848600000,79.0,-7.4,7.0
1423850400000,80.0,-7.5,6.0
1423852200000,80.3,-7.7,7.0
1423854000000,80.3,-7.6,5.0
1423855800000,80.0,-7.8,4.0
1423857600000,79.7,-7.8,6.0
1423859400000,80.0,-7.8,6.0
1423861200000,83.7,-7.8,5.0
1423863000000,87.7,-7.9,4.0
1423864800000,89.3,-7.8,5.0
1423866600000,90.7,-7.8,5.0
1423868400000,92.7,-7.9,7.0
1423870200000,90.3,-7.4,7.0
1423872000000,90.0,-7.2,6.0
1423873800000,88.7,-7.0,7.0
1423875600000,92.3,-7.4,5.0
1423877400000,95.0,-7.6,4.0
1423879200000,94.0,-7.6,5.0
1423881000000,93.7,-7.6,4.0
1423882800000,95.3,-7.6,4.0
1423884600000,94.0,-7.6,4.0
1423886400000,95.3,-7.8,4.0
1423888200000,92.3,-7.7,6.0
1423890000000,94.3,-8.0,5.0
1423891800000,92.7,-8.1,7.0
1423893600000,88.7,-7.8,15.0
1423895400000,79.0,-6.9,46.0
1423897200000,79.0,-6.9,116.0
1423899000000,77.0,-6.8,205.0
1423900800000,85.3,-7.3,257.0
1423902600000,84.3,-7.2,289.0
1423904400000,84.3,-7.2,219.0
1423906200000,90.3,-7.6,206.0
1423908000000,89.7,-7.8,300.0
1423909800000,85.7,-7.4,297.0
1423911600000,87.7,-7.8,267.0
1423913400000,90.7,-7.7,311.0
1423915200000,87.3,-7.3,252.0
1423917000000,89.3,-7.8,216.0
1423918800000,90.7,-7.8,225.0
1423920600000,86.3,-7.4,251.0
1423922400000,86.0,-7.8,223.0
1423924200000,82.7,-7.9,118.0
1423926000000,83.3,-8.0,81.0
1423927800000,86.7,-8.4,38.0
1423929600000,82.3,-8.2,13.0
1423931400000,77.3,-8.0,7.0
1423933200000,83.0,-8.5,6.0
1423935000000,81.3,-8.3,5.0
1423936800000,87.0,-8.6,4.0
1423938600000,84.7,-8.4,4.0
1423940400000,88.7,-8.5,4.0
1423942200000,94.0,-8.8,4.0
1423944000000,93.3,-8.7,4.0
1423945800000,92.7,-8.6,5.0
1423947600000,93.0,-8.6,4.0
1423949400000,93.3,-8.5,5.0
1423951200000,94.7,-8.5,4.0
1423953000000,95.0,-8.5,4.0
1423954800000,94.0,-8.4,4.0
1423956600000,94.0,-8.3,4.0
1423958400000,94.0,-8.2,4.0
1423960200000,94.3,-8.2,4.0
1423962000000,95.0,-8.1,5.0
1423963800000,95.0,-8.0,5.0
1423965600000,95.0,-7.9,5.0
1423967400000,95.0,-7.8,4.0
1423969200000,95.0,-7.8,5.0
1423971000000,95.0,-7.8,5.0
1423972800000,95.0,-7.8,5.0
1423974600000,95.0,-7.8,4.0
1423976400000,95.0,-7.7,4.0
1423978200000,95.0,-7.7,5.0
1423980000000,95.0,-7.7,12.0
1423981800000,95.0,-7.7,30.0
1423983600000,95.0,-7.5,58.0
1423985400000,95.0,-7.3,97.0
1423987200000,95.0,-7.2,136.0
1423989000000,95.0,-7.4,158.0
1423990800000,95.0,-7.4,185.0
1423992600000,94.3,-7.3,227.0
1423994400000,94.0,-7.2,267.0
1423996200000,94.0,-7.0,282.0
1423998000000,94.7,-7.0,258.0
1423999800000,94.3,-6.7,308.0
1424001600000,94.7,-7.1,261.0
1424003400000,95.0,-6.7,264.0
1424005200000,95.0,-7.1,263.0
1424007000000,94.3,-7.3,282.0
1424008800000,95.0,-7.5,130.0
1424010600000,95.0,-7.6,109.0
1424012400000,95.0,-7.2,95.0
1424014200000,95.0,-7.7,36.0
1424016000000,94.3,-8.1,13.0
1424017800000,94.7,-8.4,8.0
1424019600000,95.0,-8.3,7.0
1424021400000,95.0,-8.3,8.0
1424023200000,95.0,-8.2,6.0
1424025000000,95.0,-8.1,6.0
1424026800000,95.0,-8.1,6.0
1424028600000,95.0,-8.1,7.0
1424030400000,95.0,-8.1,4.0
1424032200000,95.0,-8.0,5.0
1424034000000,95.0,-8.1,6.0
1424035800000,95.0,-8.1,7.0
1424037600000,95.0,-8.1,9.0
1424039400000,95.0,-8.0,8.0
1424041200000,95.0,-8.2,9.0
1424043000000,95.0,-8.0,9.0
1424044800000,95.0,-7.8,9.0
1424046600000,95.0,-7.7,9.0
1424048400000,95.0,-7.6,7.0
1424050200000,95.0,-7.6,4.0
1424052000000,95.0,-7.7,7.0
1424053800000,95.0,-7.8,8.0
1424055600000,95.0,-7.8,9.0
1424057400000,95.0,-7.9,9.0
1424059200000,95.0,-7.8,9.0
1424061000000,95.0,-7.7,8.0
1424062800000,95.0,-7.7,9.0
1424064600000,94.3,-7.8,10.0
1424066400000,93.3,-8.1,26.0
1424068200000,93.0,-8.4,38.0
1424070000000,90.3,-7.6,191.0
1424071800000,87.7,-7.0,239.0
1424073600000,84.3,-6.6,355.0
1424075400000,82.7,-6.4,414.0
1424077200000,83.0,-5.2,456.0
1424079000000,81.3,-5.4,581.0
1424080800000,83.3,-5.1,446.0
1424082600000,81.3,-6.0,582.0
1424084400000,81.7,-5.9,479.0
1424086200000,82.3,-6.2,555.0
1424088000000,78.3,-5.5,798.0
1424089800000,75.3,-5.9,530.0
1424091600000,76.3,-6.0,305.0
1424093400000,76.7,-6.4,263.0
1424095200000,77.3,-6.4,193.0
1424097000000,77.3,-6.7,124.0
1424098800000,78.0,-6.8,102.0
1424100600000,79.0,-6.7,71.0
1424102400000,81.7,-6.7,23.0
1424104200000,81.7,-6.6,8.0
1424106000000,82.3,-6.6,8.0
1424107800000,82.3,-6.5,8.0
1424109600000,83.0,-6.5,8.0
1424111400000,86.3,-6.6,7.0
1424113200000,79.3,-6.6,8.0
1424115000000,83.3,-6.8,8.0
1424116800000,83.0,-6.7,8.0
1424118600000,86.3,-6.8,7.0
1424120400000,84.7,-6.9,9.0
1424122200000,85.0,-6.9,8.0
1424124000000,84.7,-6.9,8.0
1424125800000,83.7,-7.0,8.0
1424127600000,80.3,-6.9,8.0
1424129400000,82.7,-7.1,7.0
1424131200000,82.0,-7.4,8.0
1424133000000,78.7,-7.3,8.0
1424134800000,77.3,-7.3,8.0
1424136600000,79.3,-7.4,8.0
1424138400000,77.0,-7.2,8.0
1424140200000,77.7,-7.4,8.0
1424142000000,76.0,-7.2,8.0
1424143800000,74.3,-6.9,8.0
1424145600000,71.3,-6.3,9.0
1424147400000,68.3,-6.0,9.0
1424149200000,65.3,-5.4,8.0
1424151000000,63.7,-5.6,10.0
1424152800000,62.3,-5.6,26.0
1424154600000,59.3,-5.1,58.0
1424156400000,58.7,-4.7,141.0
1424158200000,59.7,-4.8,185.0
1424160000000,59.3,-4.8,298.0
1424161800000,56.3,-3.8,442.0
1424163600000,49.7,-2.4,490.0
1424165400000,41.7,0.0,514.0
1424167200000,41.7,-0.2,534.0
1424169000000,54.0,-3.3,534.0
1424170800000,55.3,-3.4,564.0
1424172600000,55.3,-3.5,550.0
1424174400000,57.0,-3.7,526.0
1424176200000,59.0,-4.2,491.0
1424178000000,59.7,-4.3,422.0
1424179800000,60.7,-4.8,367.0
1424181600000,62.7,-5.3,300.0
1424183400000,63.7,-5.6,221.0
1424185200000,68.3,-6.3,70.0
1424187000000,70.7,-6.4,27.0
1424188800000,69.7,-6.3,17.0
1424190600000,70.3,-6.5,7.0
1424192400000,70.3,-6.5,7.0
1424194200000,69.3,-6.6,5.0
1424196000000,68.3,-6.5,5.0
1424197800000,69.7,-6.9,5.0
1424199600000,70.7,-7.6,3.0
1424201400000,66.0,-6.7,4.0
1424203200000,67.3,-7.3,4.0
1424205000000,68.7,-7.6,3.0
1424206800000,73.3,-7.8,3.0
1424208600000,74.7,-7.7,4.0
1424210400000,78.7,-7.8,4.0
1424212200000,78.7,-7.9,4.0
1424214000000,79.0,-7.9,4.0
1424215800000,74.0,-7.7,4.0
1424217600000,71.3,-7.7,4.0
1424219400000,71.7,-7.7,3.0
1424221200000,68.0,-7.6,4.0
1424223000000,59.7,-7.2,4.0
1424224800000,57.0,-7.3,4.0
1424226600000,56.7,-7.4,4.0
1424228400000,56.3,-7.4,4.0
1424230200000,52.0,-7.2,3.0
1424232000000,45.3,-7.1,3.0
1424233800000,36.3,-6.8,3.0
1424235600000,34.0,-6.8,3.0
1424237400000,33.7,-6.7,5.0
1424239200000,32.0,-6.7,17.0
1424241000000,31.7,-6.4,32.0
1424242800000,30.0,-5.4,230.0
1424244600000,27.3,-3.8,318.0
1424246400000,27.7,-2.7,390.0
1424248200000,33.3,-3.0,448.0
1424250000000,31.7,-2.8,493.0
1424251800000,32.7,-3.1,534.0
1424253600000,28.3,-0.8,555.0
1424255400000,30.0,-1.5,556.0
1424257200000,32.7,-1.9,556.0
1424260800000,35.0,-2.1,516.0
1424262600000,38.3,-3.0,482.0
1424264400000,36.0,-2.6,436.0
1424266200000,33.3,-2.2,376.0
1424268000000,29.3,-2.6,307.0
1424269800000,24.7,-2.9,234.0
