"DEVICE_ID","BEGIN","END","POSITION","COMMENT"
"1012","2011-03-09 00:00:00+01:00","2011-05-02 00:00:00+02:00","18","GPS Logger @ position 12"
"1021","2011-05-03 00:00:00+02:00","2011-07-01 00:00:00+02:00","18","GPS Logger @ position 12"
"1015","2011-07-01 00:00:00+02:00","2011-08-11 00:00:00+02:00","18","GPS Logger @ position 12"
"1032","2011-08-12 00:00:00+02:00","9999-01-01 00:00:00","18","GPS Logger @ position 12"
# position 19
"1033","2011-03-09 00:00:00+01:00","2011-05-02 00:00:00+02:00","19","GPS Reference @ position 13"
"1032","2011-05-02 00:00:00+02:00","2011-07-01 00:00:00+02:00","19","GPS Reference @ position 13"
"1028","2011-07-01 00:00:00+02:00","2011-08-11 00:00:00+02:00","19","GPS Reference @ position 13"
# position 21
"1033","2011-05-18 00:00:00+02:00","2011-08-11 00:00:00+02:00","21","GPS Reference @ position 22"
"1017","2011-08-11 00:00:00+02:00","2012-02-23 12:00:00+02:00","21","GPS Reference @ position 22"
"1033","2012-02-23 12:00:00+02:00","9999-01-01 00:00:00","21","GPS Reference @ position 22"
# position 23
"1031","2011-05-18 00:00:00+02:00","2011-08-11 00:00:00+02:00","23","GPS Reference @ position 24"
"1029","2011-08-11 00:00:00+02:00","2012-02-23 12:00:00+02:00","23","GPS Reference @ position 24"
"1034","2012-02-23 12:00:01+02:00","9999-01-01 00:00:00","23","GPS Reference @ position 24"
# position 25
"1016","2011-05-18 00:00:00+02:00","2011-08-11 00:00:00+02:00","25","GPS Reference @ position 26"
"1023","2011-08-11 00:00:00+02:00","2012-02-23 12:00:00+02:00","25","GPS Reference @ position 26"
"1012","2012-02-23 12:00:00+02:00","9999-01-01 00:00:00","25","GPS Reference @ position 26"
# position 27
"1019","2011-05-18 00:00:00+02:00","2011-08-11 00:00:00+02:00","27","GPS Reference @ position 28"
"1021","2011-08-11 00:00:00+02:00","2012-02-23 12:00:00+02:00","27","GPS Reference @ position 28"
"1014","2012-02-23 12:00:00+02:00","9999-01-01 00:00:00","27","GPS Reference @ position 28"
# position 29
"1012","2011-05-17 00:00:00+02:00","2011-08-12 00:00:00+02:00","29","GPS Reference @ position 30"
"1027","2011-08-12 00:00:00+02:00","2012-02-24 12:00:00+02:00","29","GPS Reference @ position 30"
"1021","2012-02-24 12:00:00+02:00","9999-01-01 00:00:00","29","GPS Reference @ position 30"
# position 31
"1018","2011-05-18 00:00:00+02:00","2011-08-12 00:00:00+02:00","31","GPS Reference @ position 32"
"1009","2011-08-12 00:00:00+02:00","2012-02-24 12:00:00+02:00","31","GPS Reference @ position 32"
"1023","2012-02-24 12:00:00+02:00","9999-01-01 00:00:00","31","GPS Reference @ position 32"
# position 33
"1025","2011-05-18 00:00:00+02:00","2011-08-12 00:00:00+02:00","33","GPS Reference @ position 34"
"1005","2011-08-12 00:00:00+02:00","9999-01-01 00:00:00","33","GPS Reference @ position 34"
# position 35
"1020","2011-05-18 00:00:00+02:00","2011-08-12 00:00:00+02:00","35","GPS Reference @ position 36"
"1006","2011-08-12 00:00:00+02:00","9999-01-01 00:00:00","35","GPS Reference @ position 36"
# position 43
"1020","2011-08-17 00:00:00+02:00","2012-02-25 12:00:00+02:00","43","GPS Logger @ Grabengufer Top Middle"
"1009","2012-02-24 12:00:00+02:00","9999-01-01 00:00:00","43","GPS Logger @ Grabengufer Top Middle"
# position 44
