"POSITION","LONGITUDE","LATITUDE","ALTITUDE","COMMENT"
"252","8.552925","47.377305","527",
"253","8.552925","47.377305","527",
"254","8.552925","47.377305","527",
"255","8.552925","47.377305","527",
"256","8.552925","47.377305","527",
"257","8.552925","47.377305","527",
"258","8.552925","47.377305","527",
"259","8.552925","47.377305","527",
"260","8.552925","47.377305","527",
"261","8.552925","47.377305","527",
"262","8.552925","47.377305","527",
"263","8.552925","47.377305","527",
"264","8.552925","47.377305","527",
"265","8.552925","47.377305","527",
"266","8.552925","47.377305","527",
"267","8.552925","47.377305","527",
"268","8.552925","47.377305","527",
"269","8.552925","47.377305","527",
"270","8.552925","47.377305","527",
"271","8.552925","47.377305","527",
"272","8.552925","47.377305","527",
"273","8.552925","47.377305","527",
"274","8.552925","47.377305","527",
"275","8.552925","47.377305","527",
"276","8.552925","47.377305","527",
"277","8.552925","47.377305","527",
"278","8.552925","47.377305","527",
"279","8.552925","47.377305","527",
"280","8.552925","47.377305","527",
"281","8.552925","47.377305","527",
"282","8.552925","47.377305","527",
"283","8.552925","47.377305","527",
"284","8.552925","47.377305","527",
"285","8.552925","47.377305","527",
"286","8.552925","47.377305","527",
"287","8.552925","47.377305","527",
"288","8.552925","47.377305","527",
"289","8.552925","47.377305","527",
"290","8.552925","47.377305","527",
"291","8.552925","47.377305","527",
"292","8.552925","47.377305","527",
"293","8.552925","47.377305","527",
"294","8.552925","47.377305","527",
"295","8.552925","47.377305","527",
"296","8.552925","47.377305","527",
"297","8.552925","47.377305","527",
"298","8.552925","47.377305","527",
"299","8.552925","47.377305","527",
"300","8.552925","47.377305","527",
"301","8.552925","47.377305","527",
"302","8.552925","47.377305","527",
"303","8.552925","47.377305","527",
"304","8.552925","47.377305","527",
"305","8.552925","47.377305","527",
"306","8.552925","47.377305","527",
"307","8.552925","47.377305","527",
"308","8.552925","47.377305","527",
"309","8.552925","47.377305","527",
"310","8.552925","47.377305","527",
"311","8.552925","47.377305","527",
"312","8.552925","47.377305","527",
"313","8.552925","47.377305","527",
"314","8.552925","47.377305","527",
"315","8.552925","47.377305","527",
"316","8.552925","47.377305","527",
"317","8.552925","47.377305","527",
"318","8.552925","47.377305","527",
"319","8.552925","47.377305","527",
"320","8.552925","47.377305","527",
"321","8.552925","47.377305","527",
"322","8.552925","47.377305","527",
"323","8.552925","47.377305","527",
"324","8.552925","47.377305","527",
"325","8.552925","47.377305","527",
"326","8.552925","47.377305","527",
"327","8.552925","47.377305","527",
"328","8.552925","47.377305","527",
"329","8.552925","47.377305","527",
"330","8.552925","47.377305","527",
"331","8.552925","47.377305","527",
"332","8.552925","47.377305","527",
"333","8.552925","47.377305","527",
"334","8.552925","47.377305","527",
"335","8.552925","47.377305","527",
"336","8.552925","47.377305","527",
"337","8.552925","47.377305","527",
"338","8.552925","47.377305","527",
"339","8.552925","47.377305","527",
"340","8.552925","47.377305","527",
"341","8.552925","47.377305","527",
"342","8.552925","47.377305","527",
"343","8.552925","47.377305","527",
"344","8.552925","47.377305","527",
"345","8.552925","47.377305","527",
"346","8.552925","47.377305","527",
"347","8.552925","47.377305","527",
"348","8.552925","47.377305","527",
"349","8.552925","47.377305","527",
"350","8.552925","47.377305","527",
"351","8.552925","47.377305","527",
"352","8.552925","47.377305","527",
"353","8.552925","47.377305","527",
"354","8.552925","47.377305","527",
"355","8.552925","47.377305","527",
"356","8.552925","47.377305","527",
"357","8.552925","47.377305","527",
"358","8.552925","47.377305","527",
"359","8.552925","47.377305","527",
"360","8.552925","47.377305","527",
"361","8.552925","47.377305","527",
"362","8.552925","47.377305","527",
"363","8.552925","47.377305","527",
"364","8.552925","47.377305","527",
"365","8.552925","47.377305","527",
"366","8.552925","47.377305","527",
"367","8.552925","47.377305","527",
"368","8.552925","47.377305","527",
"369","8.552925","47.377305","527",
"370","8.552925","47.377305","527",
"371","8.552925","47.377305","527",
"372","8.552925","47.377305","527",
"373","8.552925","47.377305","527",
"374","8.552925","47.377305","527",
"375","8.552925","47.377305","527",
"376","8.552925","47.377305","527",
"377","8.552925","47.377305","527",
"378","8.552925","47.377305","527",
"379","8.552925","47.377305","527",
"380","8.552925","47.377305","527",
"381","8.552925","47.377305","527",
"382","8.552925","47.377305","527",
"383","8.552925","47.377305","527",
"384","8.552925","47.377305","527",
"385","8.552925","47.377305","527",
"386","8.552925","47.377305","527",
"387","8.552925","47.377305","527",
"388","8.552925","47.377305","527",
"389","8.552925","47.377305","527",
"390","8.552925","47.377305","527",
"391","8.552925","47.377305","527",
"392","8.552925","47.377305","527",
"393","8.552925","47.377305","527",
"394","8.552925","47.377305","527",
"395","8.552925","47.377305","527",
"396","8.552925","47.377305","527",
"397","8.552925","47.377305","527",
"398","8.552925","47.377305","527",
"399","8.552925","47.377305","527",
"400","8.552925","47.377305","527",
"401","8.552925","47.377305","527",
"402","8.552925","47.377305","527",
"403","8.552925","47.377305","527",
"404","8.552925","47.377305","527",
"405","8.552925","47.377305","527",
"406","8.552925","47.377305","527",
"407","8.552925","47.377305","527",
"408","8.552925","47.377305","527",
"409","8.552925","47.377305","527",
"410","8.552925","47.377305","527",
"411","8.552925","47.377305","527",
"412","8.552925","47.377305","527",
"413","8.552925","47.377305","527",
"414","8.552925","47.377305","527",
"415","8.552925","47.377305","527",
"416","8.552925","47.377305","527",
"417","8.552925","47.377305","527",
"418","8.552925","47.377305","527",
"419","8.552925","47.377305","527",
"420","8.552925","47.377305","527",
"421","8.552925","47.377305","527",
"422","8.552925","47.377305","527",
"423","8.552925","47.377305","527",
"424","8.552925","47.377305","527",
"425","8.552925","47.377305","527",
"426","8.552925","47.377305","527",
"427","8.552925","47.377305","527",
"428","8.552925","47.377305","527",
"429","8.552925","47.377305","527",
"430","8.552925","47.377305","527",
"431","8.552925","47.377305","527",
"432","8.552925","47.377305","527",
"433","8.552925","47.377305","527",
"434","8.552925","47.377305","527",
"435","8.552925","47.377305","527",
"436","8.552925","47.377305","527",
"437","8.552925","47.377305","527",
"438","8.552925","47.377305","527",
"439","8.552925","47.377305","527",
"440","8.552925","47.377305","527",
"441","8.552925","47.377305","527",
"442","8.552925","47.377305","527",
"443","8.552925","47.377305","527",
"444","8.552925","47.377305","527",
"445","8.552925","47.377305","527",
"446","8.552925","47.377305","527",
"447","8.552925","47.377305","527",
"448","8.552925","47.377305","527",
"449","8.552925","47.377305","527",
"450","8.552925","47.377305","527",
"451","8.552925","47.377305","527",
"452","8.552925","47.377305","527",
"453","8.552925","47.377305","527",
"454","8.552925","47.377305","527",
"455","8.552925","47.377305","527",
